"","Ensembl_ID","Gene","Frequency","Source","RNA_cell_enrichment","RNA_enriched_cell_types","RNA_tissue_enrichment","RNA_enriched_tissue_types","Protein_enrichment_tissue_type","Protein_enrichment_cell_type","Protein_enrichment_level","Tractability_sm","Tractability_ab","Tractability_PROTAC","Protein_class"
"190","ENSG00000130940","CASZ1",1,"Finngen","group enriched","Endothelial cells, Cardiomyocytes, Smooth muscle cells","group enriched","Heart muscle, Vascular","kidney","cells in tubules","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"191","ENSG00000130940","CASZ1",1,"Finngen","group enriched","Endothelial cells, Cardiomyocytes, Smooth muscle cells","group enriched","Heart muscle, Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins, Transcription factors"
"192","ENSG00000131408","NR1H2",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Macrophages","enriched","Vascular",NA,NA,NA,"Clinical","Unknown","Unknown","Cancer-related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors"
"193","ENSG00000131711","MAP1B",1,"NatGen Paper","group enriched","Smooth muscle cells, Fibroblasts","enriched","Vascular","kidney","cells in glomeruli","Medium","Unknown","Predicted High","Discovery","Plasma proteins, Predicted intracellular proteins"
"194","ENSG00000132305","IMMT",1,"NatGen Paper","enhanced","Cardiomyocytes, Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells","group enriched","Heart muscle, Vascular","heart muscle","cardiomyocytes","High","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins, Transporters"
"195","ENSG00000132305","IMMT",1,"NatGen Paper","enhanced","Cardiomyocytes, Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells","group enriched","Heart muscle, Vascular","kidney","collecting ducts, distal tubules, proximal tubules (cell body)","High","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins, Transporters"
"196","ENSG00000132313","MRPL35",1,"NatGen Paper","enhanced","Cardiomyocytes, Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells","low specificity",NA,NA,NA,NA,"Discovery","Unknown","Unknown","Predicted intracellular proteins, Ribosomal proteins"
"197","ENSG00000133789","SWAP70",1,"Patsy Preprint","enhanced","Endothelial cells, Fibroblasts, Smooth muscle cells, Macrophages, Cardiomyocytes","group enriched","Vascular, Heart muscle",NA,NA,NA,"Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"198","ENSG00000133812","SBF2",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular",NA,NA,NA,"Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"199","ENSG00000133895","MEN1",1,"Finngen","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Proximal tubular cells, Macrophages","enriched","Vascular",NA,NA,NA,"Clinical","Unknown","Discovery","Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"
"200","ENSG00000134245","WNT2B",1,"Finngen","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle",NA,NA,NA,"Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
"201","ENSG00000134775","FHOD3",1,"Patsy Preprint","group enriched","Cardiomyocytes, Smooth muscle cells, Fibroblasts, Proximal tubular cells","low specificity",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"202","ENSG00000134982","APC",1,"Genebass Primary","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","kidney","collecting ducts, distal tubules, proximal tubules (cell body)","High","Discovery","Predicted High","Discovery","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
"203","ENSG00000135744","AGT",2,"KEGG RAAS, Patsy Preprint","group enriched","Smooth muscle cells, Fibroblasts, Proximal tubular cells, Cardiomyocytes, Endothelial cells","low specificity",NA,"kidney","proximal tubules (cell body)","High","Predicted","Predicted High","Unknown","Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"
"204","ENSG00000136280","CCM2",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Proximal tubular cells","enriched","Vascular","kidney","cells in tubules","Low","Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"205","ENSG00000136280","CCM2",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Proximal tubular cells","enriched","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"206","ENSG00000136379","ABHD17C",1,"Finngen","enhanced","Fibroblasts, Proximal tubular cells, Endothelial cells, Cardiomyocytes, Smooth muscle cells","low specificity",NA,NA,NA,NA,"Unknown","Predicted High","Unknown","Enzymes, Predicted intracellular proteins"
"207","ENSG00000136830","FAM129B",1,"NatGen Paper","group enriched","Smooth muscle cells, Fibroblasts, Endothelial cells, Macrophages","enriched","Vascular","heart muscle","cardiomyocytes","Low","Unknown","Predicted High","Unknown","Plasma proteins, Predicted intracellular proteins"
"208","ENSG00000136830","FAM129B",1,"NatGen Paper","group enriched","Smooth muscle cells, Fibroblasts, Endothelial cells, Macrophages","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Predicted High","Unknown","Plasma proteins, Predicted intracellular proteins"
"209","ENSG00000137204","SLC22A7",1,"Finngen","enriched","Proximal tubular cells","enriched","Kidney","kidney","cells in glomeruli, cells in tubules","Medium","Predicted","Predicted High","Unknown","Metabolic proteins, Predicted membrane proteins, Transporters"
"210","ENSG00000137509","PRCP",1,"KEGG RAAS","enhanced","Endothelial cells, Fibroblasts, Macrophages, Smooth muscle cells, Proximal tubular cells","enriched","Vascular","kidney","cells in tubules","High","Discovery","Predicted High","Discovery","Enzymes, Plasma proteins, Predicted intracellular proteins"
"211","ENSG00000137764","MAP2K5",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Macrophages","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Unknown","Literature","Enzymes, Predicted intracellular proteins"
"212","ENSG00000137764","MAP2K5",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Macrophages","enriched","Vascular","heart muscle","cardiomyocytes","High","Discovery","Unknown","Literature","Enzymes, Predicted intracellular proteins"
"213","ENSG00000137807","KIF23",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Discovery","Unknown","Unknown","Predicted intracellular proteins"
"214","ENSG00000138031","ADCY3",1,"Patsy Preprint","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Predicted High","Discovery","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
"215","ENSG00000138031","ADCY3",1,"Patsy Preprint","group enriched","Fibroblasts, Smooth muscle cells","enriched","Vascular","kidney","cells in tubules","Low","Unknown","Predicted High","Discovery","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
"216","ENSG00000138175","ARL3",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Cardiomyocytes, Endothelial cells","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted Medium to Low","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"217","ENSG00000138193","PLCE1",2,"Patsy Preprint, Finngen","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Schwann cells","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Discovery","Predicted High","Unknown","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
"218","ENSG00000138193","PLCE1",2,"Patsy Preprint, Finngen","enhanced","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Schwann cells","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Predicted High","Unknown","Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
"219","ENSG00000138468","SENP7",1,"NatGen Paper","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Low","Predicted","Unknown","Discovery","Enzymes, Predicted intracellular proteins"
"220","ENSG00000138468","SENP7",1,"NatGen Paper","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Predicted","Unknown","Discovery","Enzymes, Predicted intracellular proteins"
"221","ENSG00000138593","SECISBP2L",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"222","ENSG00000138593","SECISBP2L",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"223","ENSG00000138623","SEMA7A",1,"NatGen Paper","enhanced","Endothelial cells, Fibroblasts, Schwann cells, Macrophages, Smooth muscle cells","enriched","Vascular",NA,NA,NA,"Predicted","Predicted High","Unknown","Blood group antigen proteins, CD markers, Plasma proteins, Predicted membrane proteins"
"224","ENSG00000138639","ARHGAP24",1,"Finngen","enhanced","Proximal tubular cells, Fibroblasts, Smooth muscle cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Kidney","kidney","cells in tubules","Medium","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins"
"225","ENSG00000138639","ARHGAP24",1,"Finngen","enhanced","Proximal tubular cells, Fibroblasts, Smooth muscle cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Kidney","heart muscle","cardiomyocytes","Medium","Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins"
"226","ENSG00000138674","SEC31A",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Predicted Medium to Low","Unknown","Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
"227","ENSG00000138792","ENPEP",3,"Finngen, AZ Primary, KEGG RAAS","group enriched","Proximal tubular cells, Smooth muscle cells, Fibroblasts, Cardiomyocytes, Endothelial cells","low specificity",NA,"kidney","bowman's capsule, cells in glomeruli, proximal tubules (cell body)","High","Clinical","Predicted High","Unknown","CD markers, Enzymes, Plasma proteins, Predicted membrane proteins"
"228","ENSG00000138821","SLC39A8",1,"Patsy Preprint","enhanced","Macrophages, Fibroblasts, Cardiomyocytes, Smooth muscle cells, Endothelial cells","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Low","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"
"229","ENSG00000138821","SLC39A8",1,"Patsy Preprint","enhanced","Macrophages, Fibroblasts, Cardiomyocytes, Smooth muscle cells, Endothelial cells","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted High","Unknown","Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"
"230","ENSG00000138829","FBN2",1,"Finngen","group enriched","Cardiomyocytes, Macrophages, Fibroblasts","group enriched","Heart muscle, Vascular",NA,NA,NA,"Unknown","Predicted High","Unknown","Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
"231","ENSG00000138942","RNF185",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Macrophages","enhanced","Vascular",NA,NA,NA,"Unknown","Predicted Medium to Low","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"
"232","ENSG00000139514","SLC7A1",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Predicted High","Unknown","Metabolic proteins, Predicted membrane proteins, Transporters"
"233","ENSG00000139793","MBNL2",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"234","ENSG00000140481","CCDC33",1,"NatGen Paper","enriched","Endothelial cells","enriched","Heart muscle",NA,NA,NA,"Unknown","Unknown","Unknown","Plasma proteins, Predicted intracellular proteins"
"235","ENSG00000140564","FURIN",1,"Finngen","enhanced","Fibroblasts, Endothelial cells, Macrophages, Smooth muscle cells, Cardiomyocytes","enriched","Vascular","kidney","proximal tubules (cell body)","High","Discovery","Predicted High","Unknown","Enzymes, Plasma proteins, Predicted membrane proteins"
"236","ENSG00000140718","FTO",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Clinical","Predicted High","Discovery","Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"
"237","ENSG00000140718","FTO",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","Medium","Clinical","Predicted High","Discovery","Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"
"238","ENSG00000140836","ZFHX3",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Macrophages, Endothelial cells, Cardiomyocytes","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
"239","ENSG00000140983","RHOT2",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Cardiomyocytes","low specificity",NA,"kidney","cells in tubules","Medium","Discovery","Predicted Medium to Low","Unknown","Predicted intracellular proteins, Predicted membrane proteins"
"240","ENSG00000140983","RHOT2",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Proximal tubular cells, Cardiomyocytes","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Discovery","Predicted Medium to Low","Unknown","Predicted intracellular proteins, Predicted membrane proteins"
"241","ENSG00000141101","NOB1",1,"NatGen Paper","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Proximal tubular cells, Macrophages","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Unknown","Unknown","Predicted intracellular proteins"
"242","ENSG00000141101","NOB1",1,"NatGen Paper","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Proximal tubular cells, Macrophages","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Discovery","Unknown","Unknown","Predicted intracellular proteins"
"243","ENSG00000141376","BCAS3",1,"Finngen","enhanced","Smooth muscle cells, Fibroblasts, Proximal tubular cells, Endothelial cells, Cardiomyocytes","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Unknown","Unknown","Disease related genes, Plasma proteins, Predicted intracellular proteins"
"244","ENSG00000141376","BCAS3",1,"Finngen","enhanced","Smooth muscle cells, Fibroblasts, Proximal tubular cells, Endothelial cells, Cardiomyocytes","low specificity",NA,"heart muscle","cardiomyocytes","Low","Unknown","Unknown","Unknown","Disease related genes, Plasma proteins, Predicted intracellular proteins"
"245","ENSG00000141639","MAPK4",1,"Finngen","group enriched","Cardiomyocytes, Smooth muscle cells, Fibroblasts","group enriched","Heart muscle, Vascular",NA,NA,NA,"Discovery","Unknown","Unknown","Enzymes, Plasma proteins, Predicted intracellular proteins"
"246","ENSG00000142599","RERE",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Cardiomyocytes, Macrophages","enhanced","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"
"247","ENSG00000142611","PRDM16",1,"Finngen","enhanced","Smooth muscle cells, Fibroblasts, Endothelial cells, Schwann cells, Cardiomyocytes","enriched","Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
"248","ENSG00000143839","REN",1,"KEGG RAAS","enriched","Endothelial cells","enriched","Vascular",NA,NA,NA,"Clinical","Predicted High","Unknown","Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
"249","ENSG00000144283","PKP4",1,"Finngen","group enriched","Endothelial cells, Cardiomyocytes, Fibroblasts, Smooth muscle cells, Proximal tubular cells","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Medium","Unknown","Predicted High","Unknown","Plasma proteins, Predicted intracellular proteins"
"250","ENSG00000144283","PKP4",1,"Finngen","group enriched","Endothelial cells, Cardiomyocytes, Fibroblasts, Smooth muscle cells, Proximal tubular cells","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted High","Unknown","Plasma proteins, Predicted intracellular proteins"
"251","ENSG00000144290","SLC4A10",1,"Finngen","enriched","T-cells","enriched","Vascular","kidney","collecting ducts, distal tubules","High","Unknown","Predicted High","Unknown","Metabolic proteins, Predicted membrane proteins, Transporters"
"252","ENSG00000144290","SLC4A10",1,"Finngen","enriched","T-cells","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Unknown","Predicted High","Unknown","Metabolic proteins, Predicted membrane proteins, Transporters"
"253","ENSG00000144331","ZNF385B",1,"Finngen","group enriched","Fibroblasts, Cardiomyocytes, Proximal tubular cells, Smooth muscle cells","low specificity",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"254","ENSG00000144891","AGTR1",1,"KEGG RAAS","group enriched","Fibroblasts, Smooth muscle cells, Cardiomyocytes, Endothelial cells, Macrophages","enriched","Vascular",NA,NA,NA,"Clinical","Predicted High","Unknown","Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters"
"255","ENSG00000146007","ZMAT2",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells, Cardiomyocytes","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","High","Discovery","Unknown","Unknown","Predicted intracellular proteins"
"256","ENSG00000146007","ZMAT2",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells, Cardiomyocytes","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Discovery","Unknown","Unknown","Predicted intracellular proteins"
"257","ENSG00000146243","IRAK1BP1",1,"NatGen Paper","group enriched","Fibroblasts, Endothelial cells, Smooth muscle cells, Cardiomyocytes, Proximal tubular cells","low specificity",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"258","ENSG00000146247","PHIP",1,"Finngen","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","group enriched","Vascular, Heart muscle","kidney","cells in glomeruli, cells in tubules","Medium","Discovery","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"259","ENSG00000146247","PHIP",1,"Finngen","group enriched","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","group enriched","Vascular, Heart muscle","heart muscle","cardiomyocytes","Low","Discovery","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"260","ENSG00000146477","SLC22A3",1,"NatGen Paper","group enriched","Smooth muscle cells, Fibroblasts","enriched","Vascular","heart muscle","cardiomyocytes","Medium","Discovery","Predicted High","Unknown","Metabolic proteins, Predicted membrane proteins, Transporters"
"261","ENSG00000146477","SLC22A3",1,"NatGen Paper","group enriched","Smooth muscle cells, Fibroblasts","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","High","Discovery","Predicted High","Unknown","Metabolic proteins, Predicted membrane proteins, Transporters"
"262","ENSG00000146674","IGFBP3",2,"NatGen Paper, Patsy Preprint","group enriched","Smooth muscle cells, Endothelial cells, Fibroblasts","enriched","Vascular",NA,NA,NA,"Predicted","Predicted High","Unknown","Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
"263","ENSG00000146729","GBAS",1,"NatGen Paper","enhanced","Cardiomyocytes, Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells","low specificity",NA,"heart muscle","cardiomyocytes","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"264","ENSG00000146729","GBAS",1,"NatGen Paper","enhanced","Cardiomyocytes, Fibroblasts, Smooth muscle cells, Proximal tubular cells, Endothelial cells","low specificity",NA,"kidney","bowman's capsule, cells in glomeruli, collecting ducts, distal tubules, proximal tubules (cell body)","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"265","ENSG00000146828","SLC12A9",1,"NatGen Paper","group enriched","Fibroblasts, Endothelial cells, Macrophages, Smooth muscle cells, Proximal tubular cells","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Predicted","Predicted High","Unknown","Predicted membrane proteins, Transporters"
"266","ENSG00000147454","SLC25A37",1,"NatGen Paper","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Cardiomyocytes","enriched","Vascular",NA,NA,NA,"Unknown","Predicted Medium to Low","Unknown","Metabolic proteins, Predicted intracellular proteins, Transporters"
"267","ENSG00000147606","SLC26A7",1,"NatGen Paper","group enriched","Endothelial cells, Fibroblasts, Smooth muscle cells","group enriched","Heart muscle, Vascular",NA,NA,NA,"Unknown","Predicted High","Unknown","Metabolic proteins, Predicted membrane proteins, Transporters"
"268","ENSG00000148337","CIZ1",1,"Finngen","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular",NA,NA,NA,"Unknown","Predicted High","Unknown","Disease related genes, Plasma proteins, Predicted intracellular proteins"
"269","ENSG00000148842","CNNM2",1,"NatGen Paper","enhanced","Smooth muscle cells, Fibroblasts, Endothelial cells, Proximal tubular cells, Macrophages","enhanced","Vascular",NA,NA,NA,"Discovery","Predicted Medium to Low","Unknown","Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
"270","ENSG00000149782","PLCB3",1,"Patsy Preprint","enhanced","Fibroblasts, Smooth muscle cells, Endothelial cells, Macrophages, Proximal tubular cells","enriched","Vascular","kidney","distal tubules","Medium","Discovery","Unknown","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"271","ENSG00000150722","PPP1R1C",1,"NatGen Paper","group enriched","Cardiomyocytes, Fibroblasts","group enriched","Heart muscle, Vascular",NA,NA,NA,"Unknown","Unknown","Unknown","Predicted intracellular proteins"
"272","ENSG00000152154","TMEM178A",1,"Genebass Primary","group enriched","Endothelial cells, Cardiomyocytes, Fibroblasts, Smooth muscle cells","group enriched","Heart muscle, Vascular",NA,NA,NA,"Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"273","ENSG00000152359","POC5",1,"Patsy Preprint","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages, Proximal tubular cells","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"274","ENSG00000152359","POC5",1,"Patsy Preprint","enhanced","Fibroblasts, Endothelial cells, Smooth muscle cells, Macrophages, Proximal tubular cells","low specificity",NA,"heart muscle","cardiomyocytes","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"275","ENSG00000153086","ACMSD",1,"NatGen Paper","enriched","Proximal tubular cells","enriched","Kidney","kidney","proximal tubules (cell body), proximal tubules (microvilli)","High","Discovery","Unknown","Unknown","Enzymes, Metabolic proteins, Predicted intracellular proteins"
"276","ENSG00000153815","CMIP",1,"Finngen","group enriched","Endothelial cells, Fibroblasts, Macrophages, Proximal tubular cells, Smooth muscle cells","enriched","Vascular","kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"277","ENSG00000153815","CMIP",1,"Finngen","group enriched","Endothelial cells, Fibroblasts, Macrophages, Proximal tubular cells, Smooth muscle cells","enriched","Vascular","heart muscle","cardiomyocytes","High","Unknown","Unknown","Unknown","Predicted intracellular proteins"
"278","ENSG00000154127","UBASH3B",1,"Finngen","enhanced","Macrophages, Endothelial cells, Fibroblasts, Smooth muscle cells, T-cells","enriched","Vascular","kidney","cells in tubules","Medium","Unknown","Unknown","Unknown","Enzymes, Predicted intracellular proteins"
"279","ENSG00000154127","UBASH3B",1,"Finngen","enhanced","Macrophages, Endothelial cells, Fibroblasts, Smooth muscle cells, T-cells","enriched","Vascular","heart muscle","cardiomyocytes","High","Unknown","Unknown","Unknown","Enzymes, Predicted intracellular proteins"
"280","ENSG00000154342","WNT3A",1,"Finngen","group enriched","Fibroblasts, Collecting duct cells, Distal tubular cells, Macrophages","group enriched","Vascular, Kidney",NA,NA,NA,"Discovery","Predicted High","Unknown","Predicted secreted proteins"
"281","ENSG00000154783","FGD5",1,"Finngen","group enriched","Endothelial cells, Fibroblasts, Smooth muscle cells, Macrophages, Proximal tubular cells","group enriched","Vascular, Heart muscle",NA,NA,NA,"Unknown","Predicted High","Unknown","Predicted intracellular proteins"
"282","ENSG00000156170","NDUFAF6",2,"NatGen Paper, Finngen","enhanced","Fibroblasts, Cardiomyocytes, Proximal tubular cells, Smooth muscle cells, Endothelial cells","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","Medium","Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"283","ENSG00000156170","NDUFAF6",2,"NatGen Paper, Finngen","enhanced","Fibroblasts, Cardiomyocytes, Proximal tubular cells, Smooth muscle cells, Endothelial cells","low specificity",NA,"heart muscle","cardiomyocytes","Medium","Unknown","Unknown","Unknown","Disease related genes, Human disease related genes, Predicted intracellular proteins"
"284","ENSG00000156395","SORCS3",1,"Finngen","group enriched","Schwann cells, Fibroblasts, Proximal tubular cells, Smooth muscle cells","enriched","Vascular",NA,NA,NA,"Unknown","Predicted Medium to Low","Unknown","Predicted intracellular proteins, Predicted membrane proteins, Transporters"
"285","ENSG00000156411","ATP5MPL",1,"NatGen Paper","enhanced","Cardiomyocytes, Proximal tubular cells, Fibroblasts, Smooth muscle cells, Endothelial cells","low specificity",NA,"kidney","cells in glomeruli, cells in tubules","High","Unknown","Predicted Medium to Low","Unknown","Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"
